date,open,close,high,low,volume,code
2017-03-10,6.835,6.776,6.845,6.766,63244.0,600300
2017-03-13,6.776,6.825,6.845,6.746,59722.0,600300
2017-03-14,6.845,6.776,6.855,6.776,54773.0,600300
2017-03-15,6.795,6.716,6.835,6.666,92922.0,600300
2017-03-16,6.746,6.746,6.795,6.716,93920.0,600300
2017-03-17,6.766,6.736,6.815,6.716,107465.0,600300
2017-03-20,6.746,6.636,6.756,6.596,112407.0,600300
2017-03-21,6.646,6.676,6.726,6.626,150842.0,600300
2017-03-22,6.626,6.526,6.656,6.467,186951.0,600300
2017-03-23,6.636,6.736,6.875,6.636,273911.0,600300
2017-03-24,6.786,6.805,6.845,6.706,164209.0,600300
2017-03-27,6.805,6.776,6.815,6.726,106215.0,600300
2017-03-28,6.756,6.786,6.815,6.706,65153.0,600300
2017-03-29,6.786,6.626,6.805,6.626,125321.0,600300
2017-03-30,6.636,6.477,6.666,6.467,102261.0,600300
2017-03-31,6.507,6.497,6.526,6.437,55064.0,600300
2017-04-05,6.477,6.586,6.606,6.477,76723.0,600300
2017-04-06,6.586,6.566,6.606,6.526,73884.0,600300
2017-04-07,6.556,6.526,6.596,6.507,68871.0,600300
2017-04-10,6.526,6.596,6.646,6.517,96328.0,600300
2017-04-11,6.596,6.656,6.666,6.447,129614.0,600300
2017-04-12,6.686,6.586,6.696,6.546,108051.0,600300
2017-04-13,6.636,6.576,6.646,6.556,66331.0,600300
2017-04-14,6.556,6.596,6.636,6.477,113455.0,600300
2017-04-17,6.636,6.397,6.706,6.367,154125.0,600300
2017-04-18,6.387,6.078,6.526,6.048,163988.0,600300
2017-04-19,6.078,5.66,6.088,5.58,285441.0,600300
2017-04-20,5.66,5.699,5.829,5.59,240307.0,600300
2017-04-21,5.68,5.67,5.699,5.56,126848.0,600300
2017-04-24,5.65,5.5,5.65,5.281,93915.0,600300
2017-04-25,5.48,5.42,5.6,5.361,132519.0,600300
2017-04-26,5.42,5.45,5.5,5.42,96089.0,600300
2017-04-27,5.411,5.43,5.47,5.171,105179.0,600300
2017-04-28,5.43,5.64,5.67,5.381,154829.0,600300
2017-05-02,5.62,5.59,5.64,5.52,84851.0,600300
2017-05-03,5.59,5.63,5.68,5.52,78845.0,600300
2017-05-04,5.6,5.59,5.68,5.53,75415.0,600300
2017-05-05,5.59,5.44,5.62,5.42,71260.0,600300
2017-05-08,5.43,5.261,5.44,5.251,77630.0,600300
2017-05-09,5.251,5.361,5.371,5.211,85783.0,600300
2017-05-10,5.331,5.151,5.361,5.122,103232.0,600300
2017-05-11,5.171,5.211,5.261,5.032,114828.0,600300
2017-05-12,5.201,5.171,5.241,5.122,77785.0,600300
2017-05-15,5.181,5.151,5.221,5.112,59728.0,600300
2017-05-16,5.161,5.161,5.171,4.972,162272.0,600300
2017-05-17,5.171,5.331,5.341,5.132,176252.0,600300
2017-05-18,5.281,5.171,5.291,5.151,102937.0,600300
2017-05-19,5.171,5.151,5.211,5.122,66286.0,600300
2017-05-22,5.141,5.052,5.201,5.012,93234.0,600300
2017-05-23,5.062,4.793,5.072,4.713,231220.0,600300
2017-05-24,4.763,4.823,4.843,4.613,160456.0,600300
2017-05-25,4.803,4.882,4.902,4.733,127026.0,600300
2017-05-26,4.882,4.853,4.902,4.823,83135.0,600300
2017-05-31,4.902,4.833,4.972,4.833,90205.0,600300
2017-06-01,4.833,4.753,4.843,4.713,82017.0,600300
2017-06-02,4.733,4.783,4.813,4.653,75665.0,600300
2017-06-05,4.783,4.823,4.833,4.753,93435.0,600300
2017-06-06,4.803,5.132,5.181,4.793,388256.0,600300
2017-06-07,5.072,5.47,5.59,5.022,707453.0,600300
2017-06-08,5.391,5.689,5.829,5.351,862133.0,600300
2017-06-09,5.63,5.739,5.959,5.51,631967.0,600300
2017-06-12,5.729,5.66,5.799,5.58,363214.0,600300
2017-06-13,5.64,5.66,5.829,5.51,588656.0,600300
2017-06-14,5.62,5.57,5.689,5.48,409868.0,600300
2017-06-15,5.57,5.57,5.65,5.51,406519.0,600300
2017-06-16,5.58,5.36,5.58,5.35,312761.0,600300
2017-06-19,5.38,5.44,5.49,5.34,207443.0,600300
2017-06-20,5.43,5.43,5.48,5.41,136144.0,600300
