date,open,close,high,low,volume
2017-12-14 14:00,4.46,4.47,4.48,4.45,8299.0
2017-12-14 15:00,4.48,4.48,4.49,4.45,16163.0
2017-12-15 10:30,4.47,4.47,4.5,4.46,14824.0
2017-12-15 11:30,4.47,4.48,4.5,4.46,8742.0
2017-12-15 14:00,4.48,4.51,4.52,4.47,13160.0
2017-12-15 15:00,4.51,4.51,4.51,4.48,13328.0
2017-12-18 10:30,4.51,4.53,4.55,4.51,26700.0
2017-12-18 11:30,4.53,4.52,4.53,4.51,6012.0
2017-12-18 14:00,4.52,4.5,4.52,4.5,8120.0
2017-12-18 15:00,4.5,4.54,4.55,4.49,24221.0
2017-12-19 10:30,4.54,4.56,4.56,4.51,23520.0
2017-12-19 11:30,4.56,4.53,4.56,4.52,15588.0
2017-12-19 14:00,4.53,4.51,4.54,4.51,5765.0
2017-12-19 15:00,4.51,4.53,4.54,4.5,19289.0
2017-12-20 10:30,4.51,4.48,4.53,4.48,15997.0
2017-12-20 11:30,4.48,4.5,4.51,4.47,13383.0
2017-12-20 14:00,4.49,4.48,4.51,4.48,7839.0
2017-12-20 15:00,4.48,4.48,4.51,4.47,20519.0
2017-12-21 10:30,4.48,4.46,4.5,4.43,18057.0
2017-12-21 11:30,4.46,4.49,4.49,4.45,5784.0
2017-12-21 14:00,4.48,4.48,4.49,4.47,4706.0
2017-12-21 15:00,4.48,4.48,4.49,4.47,12665.0
2017-12-22 10:30,4.46,4.46,4.48,4.46,11045.0
2017-12-22 11:30,4.46,4.46,4.48,4.45,7273.0
2017-12-22 14:00,4.46,4.46,4.47,4.45,9144.0
2017-12-22 15:00,4.46,4.46,4.47,4.45,10156.0
2017-12-25 10:30,4.45,4.44,4.46,4.42,16841.0
2017-12-25 11:30,4.44,4.39,4.44,4.38,21270.0
2017-12-25 14:00,4.39,4.34,4.4,4.33,23325.0
2017-12-25 15:00,4.34,4.32,4.36,4.31,25526.0
2017-12-26 10:30,4.32,4.34,4.37,4.32,15114.0
2017-12-26 11:30,4.34,4.34,4.34,4.31,9021.0
2017-12-26 14:00,4.34,4.33,4.35,4.33,6499.0
2017-12-26 15:00,4.33,4.34,4.35,4.33,18354.0
2017-12-27 10:30,4.34,4.34,4.37,4.32,14001.0
2017-12-27 11:30,4.34,4.33,4.35,4.32,11979.0
2017-12-27 14:00,4.33,4.34,4.35,4.33,7734.0
2017-12-27 15:00,4.34,4.34,4.35,4.31,19038.0
2017-12-28 10:30,4.33,4.35,4.35,4.3,23425.0
2017-12-28 11:30,4.35,4.34,4.36,4.34,10459.0
2017-12-28 14:00,4.34,4.35,4.37,4.34,16200.0
2017-12-28 15:00,4.35,4.34,4.35,4.33,15321.0
2017-12-29 10:30,4.36,4.35,4.37,4.34,15841.0
2017-12-29 11:30,4.35,4.35,4.35,4.33,8084.0
2017-12-29 14:00,4.35,4.38,4.39,4.34,22021.0
2017-12-29 15:00,4.38,4.37,4.39,4.36,12737.0
2018-01-02 10:30,4.38,4.4,4.41,4.38,15227.0
2018-01-02 11:30,4.4,4.41,4.42,4.39,16202.0
2018-01-02 14:00,4.41,4.4,4.43,4.4,15414.0
2018-01-02 15:00,4.41,4.42,4.43,4.4,23181.0
2018-01-03 10:30,4.43,4.43,4.43,4.4,21737.0
2018-01-03 11:30,4.43,4.51,4.51,4.42,32106.0
2018-01-03 14:00,4.51,4.5,4.51,4.48,28832.0
2018-01-03 15:00,4.5,4.51,4.52,4.48,36986.0
2018-01-04 10:30,4.49,4.51,4.52,4.48,24086.0
2018-01-04 11:30,4.51,4.59,4.65,4.51,60866.0
2018-01-04 14:00,4.59,4.61,4.63,4.57,30245.0
2018-01-04 15:00,4.61,4.63,4.63,4.59,45318.0
2018-01-05 10:30,4.61,4.57,4.62,4.55,31704.0
2018-01-05 11:30,4.57,4.6,4.6,4.57,11145.0
2018-01-05 14:00,4.6,4.59,4.61,4.57,18556.0
2018-01-05 15:00,4.59,4.59,4.61,4.56,29845.0
2018-01-08 10:30,4.58,4.61,4.62,4.55,18007.0
2018-01-08 11:30,4.61,4.6,4.64,4.6,18437.0
2018-01-08 14:00,4.6,4.59,4.61,4.56,22645.0
2018-01-08 15:00,4.59,4.6,4.61,4.56,22370.0
2018-01-09 10:30,4.59,4.6,4.6,4.58,15090.0
2018-01-09 11:30,4.59,4.62,4.63,4.58,18055.0
2018-01-09 14:00,4.62,4.61,4.62,4.59,17240.0
2018-01-09 15:00,4.61,4.61,4.63,4.59,30698.0
2018-01-10 10:30,4.59,4.57,4.6,4.54,22148.0
2018-01-10 11:30,4.57,4.56,4.58,4.54,16008.0
2018-01-10 14:00,4.56,4.52,4.57,4.5,21973.0
2018-01-10 15:00,4.52,4.54,4.56,4.52,12103.0
2018-01-11 10:30,4.54,4.62,4.64,4.54,50267.0
2018-01-11 11:30,4.62,4.6,4.63,4.57,17848.0
2018-01-11 14:00,4.6,4.61,4.62,4.59,6682.0
2018-01-11 15:00,4.61,4.61,4.62,4.6,16207.0
2018-01-12 10:30,4.6,4.61,4.63,4.6,15354.0
